диктор;уровень;предложение;ИК;величина  подъема;позиция  пика;скорость  подъема;F0старт;F0пик;F0конец;Тслог;Тпик
4;1;10;ИК4;0,16;60,69;1,79;2519,00;2542,00;2507,00;0,15;0,09
5;1;10;ИК4;1,48;41,14;20,56;1960,00;2135,00;2100,00;0,18;0,07
6;1;10;ИК4;2,96;89,60;26,45;2926,00;3472,00;3472,00;0,13;0,11
7;1;10;ИК4;1,15;76,67;12,55;3205,00;3426,00;3321,00;0,12;0,09
8;1;10;ИК4;0,64;30,83;17,28;1542,00;1600,00;1507,00;0,12;0,04
9;2;10;ИК4;0,68;57,85;9,66;2612,00;2716,00;2577,00;0,12;0,07
10;2;10;ИК4;1,24;5,16;154,38;2042,00;2193,00;2088,00;0,16;0,01
11;2;10;ИК4;4,83;100,59;28,24;2170,00;2868,00;2798,00;0,17;0,17
12;2;10;ИК4;2,68;38,31;26,85;2635,00;3077,00;2786,00;0,26;0,10
13;2;10;ИК4;2,36;67,05;13,62;2716,00;3112,00;2902,00;0,26;0,17
14;2;10;ИК4;3,34;91,67;20,23;2902,00;3519,00;3519,00;0,18;0,17
15;2;10;ИК4;0,00;0,00;0,00;3089,00;3089,00;2728,00;0,14;0,00
16;2;10;ИК4;0,45;62,57;4,16;2647,00;2716,00;2647,00;0,17;0,11
17;3;10;ИК4;0,90;36,73;24,93;2612,00;2751,00;2588,00;0,10;0,04
18;3;10;ИК4;2,72;72,59;27,76;2868,00;3356,00;3286,00;0,14;0,10
19;3;10;ИК4;2,92;68,18;24,32;2914,00;3449,00;3147,00;0,18;0,12
20;3;10;ИК4;0,48;70,73;8,27;3310,00;3403,00;3310,00;0,08;0,06
21;3;10;ИК4;0,30;23,53;24,64;2670,00;2716,00;2263,00;0,05;0,01
22;3;10;ИК4;0,37;75,45;4,47;3182,00;3251,00;3182,00;0,11;0,08
23;3;10;ИК4;1,53;68,57;31,86;2274,00;2484,00;2379,00;0,07;0,05
24;3;10;ИК4;0,62;71,30;7,56;3182,00;3298,00;3263,00;0,12;0,08
1;1;11;ИК4;4,56;100,00;25,17;1239,00;1612,00;1612,00;0,18;0,18
2;1;11;ИК4;4,35;89,41;20,62;2321,00;2984,00;2902,00;0,24;0,21
3;1;11;ИК4;3,80;100,00;17,19;2181,00;2716,00;2716,00;0,22;0,22
4;1;11;ИК4;8,11;100,00;38,26;1635,00;2612,00;2612,00;0,21;0,21
5;1;11;ИК4;6,74;96,69;38,50;1612,00;2379,00;2379,00;0,18;0,18
6;1;11;ИК4;0,00;0,00;0,00;2856,00;2856,00;2542,00;0,39;0,00
7;1;11;ИК4;1,28;38,28;10,99;2891,00;3112,00;2809,00;0,30;0,12
8;1;11;ИК4;3,79;93,31;15,98;1239,00;1542,00;1542,00;0,25;0,24
9;2;11;ИК4;2,80;95,74;12,44;2519,00;2961,00;2961,00;0,24;0,23
10;2;11;ИК4;5,60;82,86;38,59;1402,00;1937,00;1867,00;0,18;0,15
11;2;11;ИК4;13,48;87,21;70,58;681,20;1484,00;1426,00;0,22;0,19
12;2;11;ИК4;4,68;100,00;21,17;2437,00;3193,00;3193,00;0,22;0,22
13;2;11;ИК4;2,53;100,00;11,26;2507,00;2902,00;2902,00;0,23;0,23
14;2;11;ИК4;3,07;90,70;15,76;2693,00;3216,00;3182,00;0,22;0,20
15;2;11;ИК4;0,28;16,89;7,67;2844,00;2891,00;2821,00;0,22;0,04
16;2;11;ИК4;5,03;93,00;27,06;2205,00;2949,00;2949,00;0,20;0,19
17;3;11;ИК4;5,75;98,94;30,92;2449,00;3414,00;3414,00;0,19;0,19
18;3;11;ИК4;4,08;100,00;20,28;2670,00;3379,00;3379,00;0,20;0,20
19;3;11;ИК4;0,28;7,92;17,29;2856,00;2902,00;2728,00;0,20;0,02
20;3;11;ИК4;2,64;95,48;12,51;2472,00;2879,00;2879,00;0,22;0,21
21;3;11;ИК4;33,87;98,85;196,93;239,30;1693,00;1693,00;0,17;0,17
22;3;11;ИК4;4,36;99,39;26,90;2519,00;3240,00;3240,00;0,16;0,16
23;3;11;ИК4;11,08;92,90;70,60;1193,00;2263,00;2263,00;0,17;0,16
24;3;11;ИК4;3,04;94,26;15,42;2670,00;3182,00;3182,00;0,21;0,20
1;1;12;ИК4;1,17;29,41;29,26;1158,00;1239,00;1158,00;0,14;0,04
2;1;12;ИК4;3,60;99,48;18,73;2972,00;3658,00;3658,00;0,19;0,19
3;1;12;ИК4;1,58;93,96;9,24;2554,00;2798,00;2775,00;0,18;0,17
4;1;12;ИК4;7,35;94,84;36,38;1891,00;2891,00;2891,00;0,21;0,20
5;1;12;ИК4;7,12;96,73;34,41;1507,00;2274,00;2274,00;0,21;0,21
6;1;12;ИК4;5,32;97,31;21,03;2588,00;3519,00;3519,00;0,26;0,25
7;1;12;ИК4;2,87;95,85;12,40;3100,00;3658,00;3658,00;0,24;0,23
8;1;12;ИК4;5,48;84,85;27,97;1530,00;2100,00;2030,00;0,23;0,20
9;2;12;ИК4;0,93;88,20;5,89;2751,00;2902,00;2600,00;0,18;0,16
10;2;12;ИК4;5,61;90,32;28,63;1426,00;1972,00;1972,00;0,22;0,20
11;2;12;ИК4;1,78;18,25;38,74;1937,00;2147,00;2065,00;0,25;0,05
12;2;12;ИК4;0,22;3,80;31,80;2705,00;2740,00;2402,00;0,18;0,01
13;2;12;ИК4;4,04;99,48;21,07;2519,00;3182,00;3182,00;0,19;0,19
14;2;12;ИК4;3,29;84,16;17,69;2833,00;3426,00;3251,00;0,22;0,19
15;2;12;ИК4;0,87;16,84;27,08;2728,00;2868,00;2588,00;0,19;0,03
16;2;12;ИК4;3,62;95,58;15,22;2251,00;2775,00;2775,00;0,25;0,24
17;3;12;ИК4;5,85;100,00;26,36;2402,00;3368,00;3368,00;0,22;0,22
18;3;12;ИК4;4,32;99,45;23,88;2542,00;3263,00;3240,00;0,18;0,18
19;3;12;ИК4;2,44;96,32;13,32;2612,00;3007,00;3007,00;0,19;0,18
20;3;12;ИК4;4,31;100,00;27,60;2635,00;3379,00;3379,00;0,16;0,16
21;3;12;ИК4;0,00;0,00;0,00;2030,00;2030,00;1484,00;0,17;0,00
22;3;12;ИК4;3,17;100,00;14,61;2891,00;3472,00;3472,00;0,22;0,22
23;3;12;ИК4;9,82;99,60;39,12;1402,00;2472,00;2472,00;0,25;0,25
24;3;12;ИК4;3,52;90,09;18,45;2937,00;3600,00;3600,00;0,21;0,19
